𐑐𐑖𐑷𐑦𐑙 pshawing
𐑐𐑧𐑑𐑩𐑤 petal
𐑐𐑧𐑒𐑦𐑖 peckish
𐑐𐑧𐑒𐑦𐑙 pecking
𐑐𐑧𐑒𐑼𐑟 peckers
𐑐𐑧𐑒𐑼𐑦 peccary
𐑐𐑧𐑕𐑑𐑕 pests
𐑐𐑧𐑕𐑑𐑼 pester
𐑐𐑧𐑕𐑒𐑦 pesky
𐑐𐑧𐑕𐑩𐑤 pestle
𐑐𐑧𐑕𐑼𐑦 pessary
𐑐𐑧𐑚𐑤𐑦 pebbly
𐑐𐑧𐑚𐑩𐑤 pebble
𐑐𐑧𐑛𐑤𐑼 peddler
𐑐𐑧𐑛𐑦𐑟 pedis
𐑐𐑧𐑛𐑩𐑤 pedal
𐑐𐑧𐑜𐑦𐑙 pegging
𐑐𐑧𐑤𐑑𐑕 pelts
𐑐𐑧𐑤𐑩𐑑 pellet
𐑐𐑧𐑤𐑰𐑕 pelisse
𐑐𐑧𐑮𐑦𐑖 perish
𐑐𐑧𐑮𐑩𐑤 peril
𐑐𐑧𐑯𐑦𐑙 penning
𐑐𐑧𐑯𐑦𐑟 pennies
𐑐𐑧𐑯𐑩𐑯 pennon
𐑐𐑧𐑯𐑼𐑔 penn'orth
𐑐𐑨𐑑𐑢𐑭 patois
𐑐𐑨𐑑𐑦𐑙 patting
𐑐𐑨𐑑𐑦𐑟 patties
𐑐𐑨𐑑𐑦𐑴 patio
𐑐𐑨𐑑𐑩𐑛 patted
𐑐𐑨𐑑𐑩𐑯 patten
𐑐𐑨𐑑𐑱𐑟 pates
𐑐𐑨𐑑𐑼𐑛 pattered
𐑐𐑨𐑑𐑼𐑟 patters
𐑐𐑨𐑑𐑼𐑯 pattern
𐑐𐑨𐑒𐑑𐑕 pacts
𐑐𐑨𐑒𐑦𐑙 packing
𐑐𐑨𐑒𐑦𐑡 package
𐑐𐑨𐑒𐑩𐑑 packet
𐑐𐑨𐑒𐑼𐑟 packers
𐑐𐑨𐑕𐑑𐑦 pasty
𐑐𐑨𐑕𐑦𐑝 passive
𐑐𐑨𐑕𐑦𐑡 passage
𐑐𐑨𐑕𐑦𐑥 passim
𐑐𐑨𐑖𐑩𐑯 passion
𐑐𐑨𐑗𐑦𐑙 patching
𐑐𐑨𐑗𐑦𐑼 patchier
𐑐𐑨𐑗𐑩𐑟 patches
𐑐𐑨𐑗𐑼𐑟 patchers
𐑐𐑨𐑙𐑜𐑩 panga
𐑐𐑨𐑛𐑦𐑙 padding
𐑐𐑨𐑛𐑦𐑟 paddies
𐑐𐑨𐑛𐑩𐑒 paddock
𐑐𐑨𐑛𐑩𐑛 padded
𐑐𐑨𐑛𐑩𐑤 paddle
𐑐𐑨𐑤𐑦𐑙 palling
𐑐𐑨𐑤𐑦𐑛 pallid
𐑐𐑨𐑤𐑦𐑼 pallier
𐑐𐑨𐑤𐑩𐑑 pallet
𐑐𐑨𐑤𐑩𐑕 palace
𐑐𐑨𐑥𐑐𐑼 pamper
𐑐𐑨𐑮𐑦𐑖 parish
𐑐𐑨𐑮𐑦𐑛 parried
𐑐𐑨𐑮𐑦𐑟 parries
𐑐𐑨𐑮𐑩𐑑 parrot
𐑐𐑨𐑯𐑑𐑕 pants
𐑐𐑨𐑯𐑑𐑴 panto
𐑐𐑨𐑯𐑔𐑼 panther
𐑐𐑨𐑯𐑛𐑩 panda
𐑐𐑨𐑯𐑛𐑼 pander
𐑐𐑨𐑯𐑟𐑦 pansy
𐑐𐑨𐑯𐑦𐑒 panic
𐑐𐑨𐑯𐑦𐑙 panning
𐑐𐑨𐑯𐑩𐑤 panel
𐑐𐑨𐑯𐑽𐑟 panniers
𐑐𐑩𐑐𐑭𐑟 papas
𐑐𐑩𐑐𐑲𐑩 papaya
𐑐𐑩𐑐𐑵𐑕 papoose
𐑐𐑩𐑑𐑰𐑑 petite
𐑐𐑩𐑟𐑧𐑕 possess
𐑐𐑩𐑤𐑰𐑕 police
𐑐𐑩𐑤𐑲𐑑 polite
𐑐𐑩𐑤𐑵𐑑 pollute
𐑐𐑩𐑥𐑭𐑛 pomade
𐑐𐑩𐑯𐑨𐑖 panache
𐑐𐑪𐑐𐑤𐑼 poplar
𐑐𐑪𐑐𐑦𐑙 popping
𐑐𐑪𐑐𐑦𐑟 poppies
𐑐𐑪𐑐𐑩𐑑 poppet
𐑐𐑪𐑐𐑩𐑟 poppas
𐑐𐑪𐑐𐑲𐑛 popeyed
𐑐𐑪𐑑𐑐𐑲 potpie
𐑐𐑪𐑑𐑚𐑶 potboy
𐑐𐑪𐑑𐑦𐑙 potting
𐑐𐑪𐑑𐑦𐑟 potties
𐑐𐑪𐑑𐑦𐑡 pottage
𐑐𐑪𐑑𐑦𐑼 pottier
𐑐𐑪𐑑𐑨𐑖 potash
𐑐𐑪𐑑𐑩𐑛 potted
𐑐𐑪𐑑𐑰𐑯 poteen
𐑐𐑪𐑑𐑼𐑛 pottered
𐑐𐑪𐑑𐑼𐑟 potters
𐑐𐑪𐑑𐑼𐑦 pottery
𐑐𐑪𐑑𐑼𐑼 potterer
𐑐𐑪𐑒𐑩𐑑 pocket
𐑐𐑪𐑕𐑗𐑼 posture
𐑐𐑪𐑕𐑦𐑟 posses
𐑐𐑪𐑕𐑩𐑑 posset
𐑐𐑪𐑕𐑩𐑥 possum
𐑐𐑪𐑖𐑦𐑙 poshing
𐑐𐑪𐑖𐑩𐑟 poshes
𐑐𐑪𐑛𐑦𐑙 podding
𐑐𐑪𐑛𐑩𐑛 podded
𐑐𐑪𐑞𐑼𐑟 pothers
𐑐𐑪𐑟𐑦𐑑 posit
𐑐𐑪𐑡𐑦𐑼 podgier
𐑐𐑪𐑤𐑒𐑩 polka
𐑐𐑪𐑤𐑦𐑐 polyp
𐑐𐑪𐑤𐑦𐑖 polish
𐑐𐑪𐑤𐑦𐑟 polys
𐑐𐑪𐑤𐑩𐑯 pollen
𐑐𐑪𐑤𐑼𐑛 pollard
𐑐𐑪𐑥𐑦𐑟 pommies
𐑐𐑪𐑥𐑩𐑤 pommel
𐑐𐑪𐑮𐑦𐑡 porridge
𐑐𐑪𐑯𐑗𐑴 poncho
𐑐𐑪𐑯𐑛𐑟 ponds
𐑐𐑪𐑯𐑛𐑼 ponder
𐑐𐑪𐑯𐑡𐑰 pongee
𐑐𐑫𐑑𐑦𐑙 putting
𐑐𐑫𐑕𐑦𐑟 pussies
𐑐𐑫𐑖𐑗𐑺 pushchair
𐑐𐑫𐑖𐑦𐑙 pushing
𐑐𐑫𐑖𐑩𐑟 pushes
𐑐𐑫𐑖𐑼𐑟 pushers
𐑐𐑫𐑗𐑩𐑟 putsches
𐑐𐑫𐑛𐑦𐑙 pudding
𐑐𐑫𐑛𐑩𐑯 pudden
𐑐𐑫𐑤𐑦𐑙 pulling
𐑐𐑫𐑤𐑦𐑟 pulleys
𐑐𐑫𐑤𐑩𐑑 pullet
𐑐𐑫𐑼𐑤𐑦 poorly
𐑐𐑬𐑑𐑦𐑙 pouting
𐑐𐑬𐑑𐑩𐑛 pouted
𐑐𐑬𐑗𐑦𐑙 pouching
𐑐𐑬𐑗𐑩𐑟 pouches
𐑐𐑬𐑛𐑼𐑛 powdered
𐑐𐑬𐑛𐑼𐑟 powders
𐑐𐑬𐑛𐑼𐑦 powdery
𐑐𐑬𐑢𐑬𐑛 powwowed
𐑐𐑬𐑢𐑬𐑟 powwows
𐑐𐑬𐑯𐑕𐑑 pounced
𐑐𐑬𐑯𐑛𐑟 pounds
𐑐𐑬𐑯𐑛𐑼 pounder
𐑐𐑬𐑼𐑦𐑙 powering
𐑐𐑭𐑔𐑢𐑱 pathway
𐑐𐑭𐑕𐑑𐑕 pasts
𐑐𐑭𐑕𐑑𐑩 pasta
𐑐𐑭𐑕𐑑𐑼 pastor
𐑐𐑭𐑕𐑒𐑰 passkey
𐑐𐑭𐑕𐑗𐑼 pasture
𐑐𐑭𐑕𐑦𐑙 passing
𐑐𐑭𐑕𐑩𐑟 passes
𐑐𐑭𐑖𐑑𐑴 pashto
𐑐𐑭𐑖𐑩𐑟 pashas
𐑐𐑭𐑛𐑮𐑱 padre
𐑐𐑭𐑥𐑦𐑙 palming
𐑐𐑭𐑥𐑦𐑼 palmier
𐑐𐑭𐑥𐑼𐑟 palmers
𐑐𐑮𐑦𐑐𐑺 prepare
𐑐𐑮𐑦𐑑𐑦 pretty
𐑐𐑮𐑦𐑒𐑑 pricked
𐑐𐑮𐑦𐑒𐑕 pricks
𐑐𐑮𐑦𐑒𐑼 pricker
𐑐𐑮𐑦𐑓𐑻 prefer
𐑐𐑮𐑦𐑙𐑒 prink
𐑐𐑮𐑦𐑜𐑟 prigs
𐑐𐑮𐑦𐑝𐑦 privy
𐑐𐑮𐑦𐑞𐑦 prithee
𐑐𐑮𐑦𐑥𐑐 primp
𐑐𐑮𐑦𐑥𐑛 primmed
𐑐𐑮𐑦𐑥𐑟 prims
𐑐𐑮𐑦𐑥𐑼 primmer
𐑐𐑮𐑦𐑯𐑑 print
𐑐𐑮𐑦𐑯𐑕 prince
𐑐𐑮𐑧𐑐𐑕 preps
𐑐𐑮𐑧𐑕𐑑 pressed
𐑐𐑮𐑧𐑖𐑼 pressure
𐑐𐑮𐑧𐑜𐑴 preggo
𐑐𐑮𐑧𐑥𐑽 premier
𐑐𐑮𐑨𐑙𐑒 prank
𐑐𐑮𐑨𐑥𐑟 prams
𐑐𐑮𐑪𐑐𐑑 propped
𐑐𐑮𐑪𐑐𐑕 props
𐑐𐑮𐑪𐑐𐑼 proper
𐑐𐑮𐑪𐑒𐑕 prox
𐑐𐑮𐑪𐑓𐑼 proffer
𐑐𐑮𐑪𐑙𐑛 pronged
𐑐𐑮𐑪𐑙𐑟 prongs
𐑐𐑮𐑪𐑛𐑟 prods
𐑐𐑮𐑪𐑥𐑟 proms
𐑐𐑮𐑬𐑛𐑼 prouder
𐑐𐑮𐑬𐑤𐑛 prowled
𐑐𐑮𐑬𐑤𐑟 prowls
𐑐𐑮𐑬𐑤𐑼 prowler
𐑐𐑮𐑬𐑧𐑕 prowess
𐑐𐑮𐑭𐑯𐑕 prance
𐑐𐑮𐑰𐑐𐑱 prepay
𐑐𐑮𐑰𐑑𐑼 pretor
𐑐𐑮𐑰𐑕𐑑 priest
𐑐𐑮𐑰𐑗𐑑 preached
𐑐𐑮𐑰𐑗𐑼 preacher
𐑐𐑮𐑰𐑝𐑿 preview
𐑐𐑮𐑰𐑥𐑩 prima
𐑐𐑮𐑰𐑯𐑛 preened
𐑐𐑮𐑰𐑯𐑟 preens
𐑐𐑮𐑱𐑑𐑕 prates
𐑐𐑮𐑱𐑕𐑰 precis
𐑐𐑮𐑱𐑟𐑛 praised
𐑐𐑮𐑱𐑦𐑙 preying
𐑐𐑮𐑲𐑕𐑑 priced
𐑐𐑮𐑲𐑕𐑦 pricey
𐑐𐑮𐑲𐑛𐑟 prides
𐑐𐑮𐑲𐑟𐑛 prised
𐑐𐑮𐑲𐑥𐑛 primed
𐑐𐑮𐑲𐑥𐑟 primes
𐑐𐑮𐑲𐑥𐑼 primer
𐑐𐑮𐑲𐑦𐑙 prying
𐑐𐑮𐑲𐑼𐑟 priors
𐑐𐑮𐑲𐑼𐑦 priory
𐑐𐑮𐑴𐑚𐑛 probed
𐑐𐑮𐑴𐑚𐑟 probes
𐑐𐑮𐑴𐑟𐑦 prosy
𐑐𐑮𐑴𐑤𐑟 proles
𐑐𐑮𐑵𐑓𐑑 proofed
𐑐𐑮𐑵𐑓𐑕 proofs
𐑐𐑮𐑵𐑛𐑟 prudes
𐑐𐑮𐑵𐑝𐑛 proved
𐑐𐑮𐑵𐑝𐑟 proves
𐑐𐑮𐑵𐑯𐑛 pruned
𐑐𐑮𐑵𐑯𐑟 prunes
𐑐𐑮𐑷𐑯𐑛 prawned
𐑐𐑮𐑷𐑯𐑟 prawns
𐑐𐑮𐑺𐑦𐑟 prairies
𐑐𐑰𐑐𐑖𐑴 peepshow
𐑐𐑰𐑐𐑦𐑙 peeping
𐑐𐑰𐑐𐑩𐑤 pipal
𐑐𐑰𐑐𐑼𐑟 peepers
𐑐𐑰𐑑𐑕𐑩 pizza
𐑐𐑰𐑑𐑦𐑼 peatier
𐑐𐑰𐑑𐑪𐑯 piton
𐑐𐑰𐑑𐑰𐑴 pto
𐑐𐑰𐑑𐑼𐑛 petered
𐑐𐑰𐑑𐑼𐑟 peters
𐑐𐑰𐑒𐑦𐑙 peaking
𐑐𐑰𐑒𐑦𐑼 peakier
𐑐𐑰𐑒𐑪𐑒 peacock
𐑐𐑰𐑓𐑬𐑤 peafowl
𐑐𐑰𐑕𐑦𐑙 piecing
𐑐𐑰𐑕𐑩𐑟 pieces
𐑐𐑰𐑗𐑦𐑙 peaching
𐑐𐑰𐑗𐑩𐑟 peaches
𐑐𐑰𐑝𐑦𐑖 peevish
𐑐𐑰𐑝𐑦𐑙 peeving
𐑐𐑰𐑢𐑦𐑑 pewit
𐑐𐑰𐑣𐑧𐑯 peahen
𐑐𐑰𐑤𐑦𐑙 pealing
𐑐𐑰𐑤𐑼𐑟 peelers
𐑐𐑰𐑧𐑑𐑭 pieta
𐑐𐑰𐑯𐑦𐑕 penis
𐑐𐑰𐑯𐑩𐑤 penal
𐑐𐑰𐑯𐑳𐑑 peanut
𐑐𐑱𐑐𐑩𐑤 papal
𐑐𐑱𐑐𐑼𐑛 papered
𐑐𐑱𐑐𐑼𐑟 papers
𐑐𐑱𐑓𐑴𐑯 payphone
𐑐𐑱𐑔𐑪𐑕 pathos
𐑐𐑱𐑕𐑑𐑕 pastes
𐑐𐑱𐑕𐑑𐑦 pasty
𐑐𐑱𐑕𐑦𐑙 pacing
𐑐𐑱𐑕𐑩𐑟 paces
𐑐𐑱𐑕𐑴𐑟 pesos
𐑐𐑱𐑖𐑰𐑑 paysheet
𐑐𐑱𐑗𐑧𐑒 paycheck
𐑐𐑱𐑛𐑱𐑟 paydays
𐑐𐑱𐑛𐑻𐑑 paydirt
𐑐𐑱𐑜𐑩𐑯 pagan
𐑐𐑱𐑝𐑦𐑙 paving
𐑐𐑱𐑟𐑤𐑦 paisley
𐑐𐑱𐑡𐑦𐑙 paging
𐑐𐑱𐑡𐑩𐑟 pages
𐑐𐑱𐑤𐑤𐑦 palely
𐑐𐑱𐑤𐑦𐑖 palish
𐑐𐑱𐑤𐑦𐑙 paling
𐑐𐑱𐑤𐑴𐑛 payload
𐑐𐑱𐑪𐑓𐑕 payoffs
𐑐𐑱𐑮𐑴𐑤 payroll
𐑐𐑱𐑯𐑑𐑕 paints
𐑐𐑱𐑯𐑑𐑼 painter
𐑐𐑱𐑯𐑢𐑸 peignoir
𐑐𐑱𐑯𐑦𐑙 paining
𐑐𐑱𐑯𐑦𐑥 paynim
𐑐𐑱𐑴𐑑𐑦 peyote
𐑐𐑱𐑴𐑤𐑩 payola
𐑐𐑲𐑐𐑦𐑙 piping
𐑐𐑲𐑐𐑼𐑟 pipers
𐑐𐑲𐑒𐑦𐑙 piking
𐑐𐑲𐑔𐑩𐑯 python
𐑐𐑲𐑤𐑦𐑙 piling
𐑐𐑲𐑤𐑩𐑑 pilot
𐑐𐑲𐑤𐑪𐑯 pylon
𐑐𐑲𐑥𐑧𐑯 piemen
𐑐𐑲𐑥𐑩𐑯 pieman
𐑐𐑲𐑩𐑑𐑦 piety
𐑐𐑲𐑩𐑯𐑟 pions
𐑐𐑲𐑩𐑯𐑽 pioneer
𐑐𐑲𐑮𐑩𐑑 pirate
𐑐𐑲𐑯𐑑𐑕 pints
𐑐𐑲𐑯𐑦𐑙 pining
𐑐𐑲𐑯𐑾𐑤 pineal
𐑐𐑳𐑐𐑦𐑟 puppies
𐑐𐑳𐑐𐑩𐑑 puppet
𐑐𐑳𐑑𐑦𐑙 putting
𐑐𐑳𐑑𐑦𐑛 puttied
𐑐𐑳𐑑𐑦𐑟 puttees
𐑐𐑳𐑑𐑩𐑛 putted
𐑐𐑳𐑑𐑼𐑛 puttered
𐑐𐑳𐑑𐑼𐑟 putters
𐑐𐑳𐑒𐑦𐑖 puckish
𐑐𐑳𐑒𐑼𐑛 puckered
𐑐𐑳𐑒𐑼𐑟 puckers
𐑐𐑳𐑓𐑦𐑙 puffing
𐑐𐑳𐑓𐑦𐑯 puffin
𐑐𐑳𐑓𐑦𐑼 puffier
𐑐𐑳𐑙𐑒𐑕 punks
𐑐𐑳𐑙𐑒𐑩 punkah
𐑐𐑳𐑛𐑤𐑼 puddler
𐑐𐑳𐑛𐑩𐑤 puddle
𐑐𐑳𐑟𐑤𐑼 puzzler
𐑐𐑳𐑟𐑩𐑤 puzzle
𐑐𐑳𐑡𐑦𐑼 pudgier
𐑐𐑳𐑤𐑐𐑑 pulped
𐑐𐑳𐑤𐑐𐑕 pulps
𐑐𐑳𐑤𐑐𐑦 pulpy
𐑐𐑳𐑤𐑕𐑑 pulsed
𐑐𐑳𐑤𐑕𐑸 pulsar
𐑐𐑳𐑥𐑐𐑑 pumped
𐑐𐑳𐑥𐑐𐑕 pumps
𐑐𐑳𐑥𐑦𐑕 pumice
𐑐𐑳𐑥𐑩𐑤 pommel
𐑐𐑳𐑯𐑑𐑕 punts
𐑐𐑳𐑯𐑑𐑼 punter
𐑐𐑳𐑯𐑗𐑑 punched
𐑐𐑳𐑯𐑦𐑖 punish
𐑐𐑳𐑯𐑦𐑙 punning
𐑐𐑳𐑯𐑩𐑑 punnet
𐑐𐑴𐑐𐑦𐑖 popish
𐑐𐑴𐑐𐑼𐑦 popery
𐑐𐑴𐑒𐑦𐑙 poking
𐑐𐑴𐑒𐑦𐑼 pokier
𐑐𐑴𐑒𐑼𐑟 pokers
𐑐𐑴𐑕𐑑𐑕 posts
𐑐𐑴𐑕𐑑𐑼 poster
𐑐𐑴𐑖𐑩𐑯 potion
𐑐𐑴𐑗𐑦𐑙 poaching
𐑐𐑴𐑗𐑩𐑟 poaches
𐑐𐑴𐑗𐑼𐑟 poachers
𐑐𐑴𐑛𐑾𐑥 podium
𐑐𐑴𐑟𐑦𐑙 posing
𐑐𐑴𐑟𐑦𐑟 posies
𐑐𐑴𐑟𐑩𐑟 poses
𐑐𐑴𐑟𐑻𐑟 poseurs
𐑐𐑴𐑟𐑼𐑟 posers
𐑐𐑴𐑤𐑦𐑖 polish
𐑐𐑴𐑤𐑦𐑙 polling
𐑐𐑴𐑤𐑦𐑴 polio
𐑐𐑴𐑩𐑑𐑕 poets
𐑐𐑴𐑩𐑟𐑦 poesy
𐑐𐑴𐑩𐑥𐑟 poems
𐑐𐑴𐑯𐑦𐑟 ponies
𐑐𐑵𐑛𐑩𐑤 poodle
𐑐𐑵𐑤𐑒𐑱 pulque
𐑐𐑵𐑤𐑦𐑙 pooling
𐑐𐑶𐑟𐑦𐑙 poising
𐑐𐑶𐑟𐑩𐑟 poises
𐑐𐑶𐑟𐑩𐑯 poison
𐑐𐑶𐑯𐑑𐑕 points
𐑐𐑶𐑯𐑑𐑦 pointy
𐑐𐑶𐑯𐑑𐑼 pointer
𐑐𐑷𐑐𐑷𐑟 pawpaws
𐑐𐑷𐑐𐑼𐑟 paupers
𐑐𐑷𐑟𐑦𐑙 pausing
𐑐𐑷𐑟𐑩𐑟 pauses
𐑐𐑷𐑤𐑑𐑼 palter
𐑐𐑷𐑤𐑟𐑦 palsy
𐑐𐑷𐑤𐑦𐑙 palling
𐑐𐑷𐑯𐑗𐑦 paunchy
𐑐𐑷𐑯𐑦𐑙 pawning
𐑐𐑷𐑯𐑰𐑟 pawnees
𐑐𐑸𐑑𐑢𐑱 partway
𐑐𐑸𐑑𐑤𐑦 partly
𐑐𐑸𐑑𐑦𐑙 parting
𐑐𐑸𐑑𐑦𐑟 parties
𐑐𐑸𐑑𐑩𐑛 parted
𐑐𐑸𐑑𐑫𐑒 partook
𐑐𐑸𐑑𐑯𐑼 partner
𐑐𐑸𐑑𐑱𐑒 partake
𐑐𐑸𐑑𐑺𐑟 parterres
𐑐𐑸𐑒𐑦𐑙 parking
𐑐𐑸𐑒𐑩𐑟 parkas
𐑐𐑸𐑓𐑱𐑟 parfaits
𐑐𐑸𐑔𐑾𐑯 parthian
𐑐𐑸𐑕𐑤𐑦 parsley
𐑐𐑸𐑕𐑧𐑒 parsec
𐑐𐑸𐑕𐑩𐑤 parcel
𐑐𐑸𐑕𐑩𐑯 parson
𐑐𐑸𐑕𐑰𐑟 parsees
𐑐𐑸𐑖𐑩𐑤 partial
𐑐𐑸𐑗𐑦𐑙 parching
𐑐𐑸𐑗𐑩𐑟 parches
𐑐𐑸𐑚𐑶𐑤 parboil
𐑐𐑸𐑛𐑩𐑯 pardon
𐑐𐑸𐑟𐑦𐑙 parsing
𐑐𐑸𐑟𐑩𐑟 parses
𐑐𐑸𐑤𐑦𐑛 parleyed
𐑐𐑸𐑤𐑦𐑟 parleys
𐑐𐑸𐑤𐑩𐑕 parlous
𐑐𐑸𐑤𐑼𐑟 parlours
𐑐𐑹𐑐𐑩𐑕 porpoise
